赛季,得分,命中率,三分命中率,罚球命中率,篮板,助攻,抢断,盖帽
2007,20.3,0.43,0.29,0.87,4.3,2.4,0.97,0.94
2008,25.3,0.48,0.42,0.86,6.5,2.8,1.3,0.72
2009,30.1,0.48,0.37,0.9,7.6,2.8,1.37,1.02
2010,27.7,0.46,0.35,0.88,6.8,2.7,1.13,0.97
2011,28,0.5,0.39,0.86,8,3.5,1.33,1.17
2012,28.1,0.51,0.42,0.91,7.9,4.6,1.43,1.3
2013,32,0.5,0.39,0.87,7.4,5.5,1.27,0.73
2014,25.4,0.51,0.4,0.85,6.6,4.1,0.89,0.93
2015,28.2,0.51,0.39,0.9,8.2,5,0.96,1.18
2016,25.1,0.54,0.38,0.88,8.3,4.8,1.06,1.6
2017,26.4,0.52,0.42,0.89,6.8,5.4,0.74,1.75
2017,26.4,0.52,0.42,0.89,6.8,5.4,0.74,1.75
2018,26,0.52,0.35,0.89,6.4,5.9,0.74,1.08
2020,26.9,0.54,0.45,0.88,7.1,5.6,0.71,1.29
2021,28.6,0.57,0.43,0.85,7.9,4.9,0.5,0.5
