赛季,得分,命中率,命中率,命中率,篮板,助攻,抢断,盖帽
2008,15.3,0.4,0.27,0.82,4.9,5.3,1.34,0.20
2009,16.1,0.42,0.22,0.78,4.9,8.0,1.32,0.41
2010,21.9,0.44,0.33,0.84,4.6,8.2,1.89,0.37
2011,23.6,0.46,0.32,0.82,4.6,5.5,1.70,0.32
2012,23.2,0.44,0.32,0.8,5.2,7.4,1.77,0.29
2013,21.8,0.44,0.32,0.83,5.7,6.9,1.91,0.15
2014,28.1,0.43,0.3,0.84,7.3,8.6,2.09,0.21
2015,23.5,0.45,0.3,0.81,7.8,10.4,2.04,0.25
2016,31.6,0.43,0.34,0.85,10.7,10.4,1.63,0.38
2017,25.4,0.45,0.3,0.74,10.1,10.2,1.84,0.25
2017,25.4,0.45,0.3,0.74,10.1,10.2,1.84,0.25
2018,22.9,0.43,0.29,0.66,11.1,10.7,1.95,0.45
2019,27.2,0.47,0.26,0.76,7.9,7.0,1.63,0.35
2020,22.2,0.44,0.32,0.66,11.5,11.7,1.37,0.35
