排名,球员,球队,得分,命中率,三分命中率,罚球命中率,上场时间
1,乔尔-恩比德,76人,30.60,0.499,0.371,0.814,33.80
2,扬尼斯-阿德托昆博,雄鹿,29.90,0.553,0.293,0.722,32.90
3,特雷-杨,老鹰,28.40,0.46,0.382,0.904,34.90
3,卢卡-东契奇,独行侠,28.40,0.457,0.353,0.744,35.40
5,德马尔-德罗赞,公牛,27.90,0.504,0.352,0.877,36.10
6,尼古拉-约基奇,掘金,27.10,0.583,0.337,0.81,33.50
7,杰森-塔特姆,凯尔特人,26.90,0.453,0.353,0.853,35.90
8,德文-布克,太阳,26.80,0.466,0.383,0.868,34.50
9,多诺万-米切尔,爵士,25.90,0.448,0.355,0.853,33.80
10,斯蒂芬-库里,勇士,25.50,0.437,0.38,0.923,34.50
11,卡尔-安东尼-唐斯,森林狼,24.60,0.529,0.41,0.822,33.50
12,扎克-拉文,公牛,24.40,0.476,0.389,0.853,34.70
13,杰伦-布朗,凯尔特人,23.60,0.473,0.358,0.758,33.60
14,达龙-福克斯,国王,23.20,0.473,0.297,0.75,35.30
15,帕斯卡尔-西亚卡姆,猛龙,22.80,0.494,0.344,0.749,37.90
16,达里厄斯-加兰,骑士,21.70,0.462,0.383,0.892,35.70
17,安东尼-爱德华兹,森林狼,21.30,0.441,0.357,0.786,34.30
18,德章泰-默里,老鹰,21.10,0.462,0.327,0.794,34.80
19,泰勒-希罗,热火,20.70,0.447,0.399,0.868,32.60
20,弗雷德-范弗利特,猛龙,20.30,0.403,0.377,0.874,37.90
21,迈尔斯-布里奇斯,黄蜂,20.20,0.491,0.331,0.802,35.50
22,拉梅洛-鲍尔,黄蜂,20.10,0.429,0.389,0.872,32.30
22,朱利叶斯-兰德尔,尼克斯,20.10,0.411,0.308,0.756,35.30
22,克里斯-米德尔顿,雄鹿,20.10,0.443,0.373,0.89,32.40
25,RJ-巴雷特,尼克斯,20.00,0.408,0.342,0.714,34.50
26,特里-罗齐尔,黄蜂,19.30,0.444,0.374,0.852,33.70
27,拉塞尔-威斯布鲁克,湖人,18.50,0.444,0.298,0.667,34.30
27,乔丹-普尔,勇士,18.50,0.448,0.364,0.925,30.00
29,小加里-特伦特,猛龙,18.30,0.414,0.383,0.853,35.00
29,朱-霍勒迪,雄鹿,18.30,0.501,0.411,0.761,32.90
31,德斯蒙德-贝恩,灰熊,18.20,0.461,0.436,0.903,29.80
32,丹吉洛-拉塞尔,森林狼,18.10,0.411,0.34,0.825,32.00
32,博扬-波格丹诺维奇,爵士,18.10,0.455,0.387,0.858,30.90
34,克里斯蒂安-伍德,独行侠,17.90,0.501,0.39,0.623,30.80
35,约纳斯-瓦兰丘纳斯,鹈鹕,17.80,0.544,0.361,0.82,30.30
36,尼古拉-武切维奇,公牛,17.60,0.473,0.314,0.76,33.10
37,泰雷斯-马克西,76人,17.50,0.485,0.427,0.866,35.30
38,凯德-坎宁安,活塞,17.40,0.416,0.314,0.845,32.60
39,杰伦-格林,火箭,17.30,0.426,0.343,0.797,31.90
40,德安德烈-艾顿,太阳,17.20,0.634,0.368,0.746,29.50
40,托拜厄斯-哈里斯,76人,17.20,0.482,0.367,0.842,34.80
40,安德鲁-威金斯,勇士,17.20,0.466,0.393,0.634,31.90
43,凯尔-库兹马,奇才,17.10,0.452,0.341,0.712,33.40
44,凯尔登-约翰逊,马刺,17.00,0.466,0.398,0.756,31.90
45,雷吉-杰克逊,快船,16.80,0.392,0.326,0.847,31.20
46,哈里森-巴恩斯,国王,16.40,0.469,0.394,0.826,33.60
47,小贾伦-杰克逊,灰熊,16.30,0.415,0.319,0.823,27.30
47,科尔-安东尼,魔术,16.30,0.391,0.338,0.854,31.70
47,杰伦-布伦森,尼克斯,16.30,0.502,0.373,0.84,31.90
50,萨迪克-贝,活塞,16.10,0.396,0.346,0.827,33.00
